id	title	year	category	source_url	pdf_path	report_path	venue	pub_status	code_url	project_url	section	authors
2006.04678	Primal Wasserstein Imitation Learning	2021	foundational_ot_imitation	https://arxiv.org/abs/2006.04678	papers/2006.04678_primal_wasserstein_imitation_learning.pdf	reports/2006.04678_primal_wasserstein_imitation_learning.md	ICLR 2021	published	https://github.com/google-research/google-research/tree/master/pwil		4.5	Robert Dadashi, Léonard Hussenot, Matthieu Geist, Olivier Pietquin
2008.09167	Imitation Learning with Sinkhorn Distances	2022	foundational_ot_imitation	https://arxiv.org/abs/2008.09167	papers/2008.09167_sinkhorn_imitation_learning.pdf	reports/2008.09167_sinkhorn_imitation_learning.md	ECML PKDD 2022	published	https://github.com/gpapagiannis/sinkhorn-imitation		4.5	Georgios Papagiannis, Yunpeng Li
2105.11739	Affine Transport for Sim-to-Real Domain Adaptation	2021	sim2real_dynamics	https://arxiv.org/abs/2105.11739	papers/2105.11739_affine_transport_sim2real.pdf	reports/2105.11739_affine_transport_sim2real.md	arXiv	preprint			4.4	Anton Mallasto, Karol Arndt, Markus Heinonen, Samuel Kaski, Ville Kyrki
2110.03684	Cross-Domain Imitation Learning via Optimal Transport	2022	cross_domain_imitation_gw	https://arxiv.org/abs/2110.03684	papers/2110.03684_gwil_cross_domain_imitation_via_ot.pdf	reports/2110.03684_gwil_cross_domain_imitation_via_ot.md	ICLR 2022	published	https://github.com/facebookresearch/gwil		4.5	Arnaud Fickinger, Samuel Cohen, Stuart Russell, Brandon Amos
2206.15469	Watch and Match: Supercharging Imitation with Regularized Optimal Transport	2023	robot_imitation_ot_reward	https://proceedings.mlr.press/v205/haldar23a.html	papers/2206.15469_rot_watch_and_match.pdf	reports/2206.15469_rot_watch_and_match.md	CoRL 2022 (PMLR 205:32-43, 2023)	published	https://github.com/siddhanthaldar/ROT	https://rot-robot.github.io/	4.5	Siddhant Haldar, Vaibhav Mathur, Denis Yarats, Lerrel Pinto
2209.09893	Deep Generalized Schrödinger Bridge	2022	generalized_sb_mean_field	https://arxiv.org/abs/2209.09893	papers/2209.09893_deep_generalized_schrodinger_bridge.pdf	reports/2209.09893_deep_generalized_schrodinger_bridge.md	NeurIPS 2022 (Oral)	published	https://github.com/ghliu/DeepGSB		2.3	Guan-Horng Liu, Tianrong Chen, Oswin So, Evangelos A. Theodorou
2209.12093	Learn what matters: cross-domain imitation learning with task-relevant embeddings	2022	cross_domain_il_baseline	https://arxiv.org/abs/2209.12093	papers/2209.12093_task_relevant_embeddings_cross_domain_il.pdf	reports/2209.12093_task_relevant_embeddings_cross_domain_il.md	NeurIPS 2022	published			4.5	Tim Franzmeyer, Philip H. S. Torr, João F. Henriques
2302.05872	I²SB: Image-to-Image Schrödinger Bridge	2023	paired_image_schrodinger_bridge	https://arxiv.org/abs/2302.05872	papers/2302.05872_i2sb.pdf	reports/2302.05872_i2sb.md	ICML 2023	published	https://github.com/NVlabs/I2SB		2.2	Guan-Horng Liu, Arash Vahdat, De-An Huang, Evangelos A. Theodorou, Weili Nie, Anima Anandkumar
2308.12351	Improving Generative Model-based Unfolding with Schrödinger Bridges	2024	sb_simulation_unfolding	https://arxiv.org/abs/2308.12351	papers/2308.12351_sb_unfold.pdf	reports/2308.12351_sb_unfold.md	Phys. Rev. D 109, 076011 (2024)	published	https://github.com/ViniciusMikuni/SBUnfold		4.3	Sascha Diefenbacher, Guan-Horng Liu, Vinicius Mikuni, Benjamin Nachman, Weili Nie
2310.02233	Generalized Schrödinger Bridge Matching	2024	generalized_sb_matching	https://arxiv.org/abs/2310.02233	papers/2310.02233_generalized_schrodinger_bridge_matching.pdf	reports/2310.02233_generalized_schrodinger_bridge_matching.md	ICLR 2024 (Poster)	published	https://github.com/facebookresearch/generalized-schrodinger-bridge-matching		2.3	Guan-Horng Liu, Yaron Lipman, Maximilian Nickel, Brian Karrer, Evangelos A. Theodorou, Ricky T. Q. Chen
2311.01331	Offline Imitation from Observation via Primal Wasserstein State Occupancy Matching	2024	offline_lfo_wasserstein	https://arxiv.org/abs/2311.01331	papers/2311.01331_primal_wasserstein_state_occupancy.pdf	reports/2311.01331_primal_wasserstein_state_occupancy.md	ICML 2024	published	https://github.com/KaiYan289/PW-DICE		4.5	Kai Yan, Alexander G. Schwing, Yu-Xiong Wang
2404.13430	React-OT: Optimal Transport for Generating Transition State in Chemical Reactions	2025	conditional_ot_scientific_generation	https://arxiv.org/abs/2404.13430	papers/2404.13430_react_ot.pdf	reports/2404.13430_react_ot.md	Nature Machine Intelligence 7, 615-626 (2025)	published	https://github.com/deepprinciple/react-ot		4.3	Chenru Duan, Guan-Horng Liu, Yuanqi Du, Tianrong Chen, Qiyuan Zhao, Haojun Jia, Carla P. Gomes, Evangelos A. Theodorou, Heather J. Kulik
2409.06615	One-Shot Imitation under Mismatched Execution	2025	human_robot_video_alignment	https://arxiv.org/abs/2409.06615	papers/2409.06615_rhyme_one_shot_mismatched_execution.pdf	reports/2409.06615_rhyme_one_shot_mismatched_execution.md	ICRA 2025	published	https://github.com/portal-cornell/rhyme		4.4	Kushal Kedia, Prithwish Dan, Angela Chao, Maximus A. Pace, Sanjiban Choudhury
2409.09347	Schrödinger Bridge Flow for Unpaired Data Translation	2024	sb_unpaired_translation	https://arxiv.org/abs/2409.09347	papers/2409.09347_schrodinger_bridge_flow_unpaired_translation.pdf	reports/2409.09347_schrodinger_bridge_flow_unpaired_translation.md	NeurIPS 2024 (Spotlight)	published			2.1	Valentin De Bortoli, Iryna Korshunova, Andriy Mnih, Arnaud Doucet
2410.08751	Zero-Shot Offline Imitation Learning via Optimal Transport	2025	zero_shot_offline_il_ot	https://arxiv.org/abs/2410.08751	papers/2410.08751_zero_shot_offline_il_ot.pdf	reports/2410.08751_zero_shot_offline_il_ot.md	ICML 2025	published	https://github.com/martius-lab/zilot		4.5	Thomas Rupf, Marco Bagatella, Nico Gürtler, Jonas Frey, Georg Martius
