id	date	score	known	title	first_author	n_authors	comment	jref	cats
2602.15396	2026-02-17	11		Efficient Generative Modeling beyond Memoryless Diffusion via Adjoint Schrödinger Bridge Matching	Jeongwoo Shin	5			cs.CV
2510.01894	2025-10-02	10		Multi-marginal temporal Schrödinger Bridge Matching from unpaired data	Thomas Gravier	3	ICML 2026. Code available at https://github.com/tgravier/MMDSBM-pytorch . Additional experimental materials available at https://mmdsbm.notion.site		cs.LG
2510.16587	2025-10-18	10	yes	Multi-Marginal Schrödinger Bridge Matching	Byoungwoo Park	2			stat.ML,cs.LG
2607.16987	2026-07-18	10		Twisted Schrödinger Bridge Matching	Maxence Noble	5	Preprint version		stat.ML,cs.LG
2608.25838	2026-08-26	9		Hard-Constrained Sampling on Embedded Riemannian Manifolds via Adjoint Schrödinger Bridges	Mattia Mosso	3			eess.SY
2511.07406	2025-11-10	8		Entangled Schrödinger Bridge Matching	Sophia Tang	3			cs.LG,q-bio.BM
2601.22408	2026-01-29	8	yes	Minimal-Action Discrete Schrödinger Bridge Matching for Peptide Sequence Design	Shrey Goel	2			q-bio.BM,cs.LG
2602.08243	2026-02-09	8	yes	Discrete Adjoint Schrödinger Bridge Sampler	Wei Guo	9			stat.ML,cs.LG
2604.05673	2026-04-07	8	yes	Rectified Schrödinger Bridge Matching for Few-Step Visual Navigation	Wuyang Luan	6	18 pages, 7 figures, 10 tables. Code available at https://github.com/WuyangLuan/RSBM		cs.RO,cs.AI
2606.17420	2026-06-16	8		Feynman Kac Reweighted Schrödinger Bridge Matching for Surface-Based Tau PET Harmonization	Jianwei Zhang	4			eess.IV,cs.AI,q-bio.QM
2509.23348	2025-09-27	7		Entering the Era of Discrete Diffusion Models: A Benchmark for Schrödinger Bridges and Entropic Optimal Transport	Xavier Aramayo Carrasco	5			cs.LG
2607.03626	2026-07-03	7	yes	Reflected Schrödinger Bridge Matching	Marcus Häggbom	4			cs.LG,stat.ML
2511.13124	2025-11-17	6		Departures: Distributional Transport for Single-Cell Perturbation Prediction with Neural Schrödinger Bridges	Changxi Chi	7			cs.LG,q-bio.QM
2603.14049	2026-03-14	6		Schrödinger Bridge Over A Compact Connected Lie Group	Hamza Mahmood	3			math.OC,cs.LG,eess.SY
2509.08628	2025-09-10	5		LADB: Latent Aligned Diffusion Bridges for Semi-Supervised Domain Translation	Xuqin Wang	9		Pattern Recognition. DAGM GCPR 2025	cs.CV
2509.25980	2025-09-30	5		Exact Solutions to the Quantum Schrödinger Bridge Problem	Mykola Bordyuh	3			cs.LG,math-ph,math.PR
2510.12453	2025-10-14	5		Time-Correlated Video Bridge Matching	Viacheslav Vasilev	5			cs.LG
2511.01795	2025-11-03	5		Fractional Diffusion Bridge Models	Gabriel Nobis	8	To appear in NeurIPS 2025 proceedings. This version includes post-camera-ready revisions		cs.LG,cs.AI,cs.CV
2511.07786	2025-11-11	5		A Closed-Form Framework for Schrödinger Bridges Between Arbitrary Densities	Hanwen Huang	1	35 pages, 3 figures		stat.CO,stat.ML
2511.12075	2025-11-15	5		Treatment Stitching with Schrödinger Bridge for Enhancing Offline Reinforcement Learning in Adaptive Treatment Strategies	Dong-Hee Shin	4	19 pages, 5 figures, AAAI conference		cs.LG,cs.AI
2602.18355	2026-02-20	5		Rethinking Flow and Diffusion Bridge Models for Speech Enhancement	Dahan Wang	7	Accepted by the 40th AAAI Conference on Artificial Intelligence (AAAI-26)		eess.AS
2602.20011	2026-02-23	5		Schrödinger bridges with jumps for time series generation	Stefano De Marco	3	34 pages, 30 figures		q-fin.MF
2603.00530	2026-02-28	5		Bridge Matching Sampler: Scalable Sampling via Generalized Fixed-Point Diffusion Matching	Denis Blessing	5	Preprint		cs.LG
2603.19386	2026-03-19	5		TuLaBM: Tumor-Biased Latent Bridge Matching for Contrast-Enhanced MRI Synthesis	Atharva Rege	5			eess.IV,cs.LG
