id	date	score	known	title	first_author	n_authors	comment	jref	cats
2509.24531	2025-09-29	4	yes	Diffusion Bridge or Flow Matching? A Unifying Framework and Comparative Analysis	Kaizhen Zhu	6			cs.CV
2510.26645	2025-10-30	4	yes	Curly Flow Matching for Learning Non-gradient Field Dynamics	Katarina Petrović	8	Accepted to NeurIPS 2025		cs.LG
2605.16529	2026-05-15	4		Multiscale Supervised Unbalanced Optimal Transport Flow Matching	Qiangwei Peng	3			cs.LG,math.OC
2606.05327	2026-06-03	4		Multimarginal flow matching with optimal transport potentials	Raghav Kansal	5	9 pages, 3 figures, 4 tables, and a 27 page appendix. Accepted to the Forty-Third International Conference on Machine Learning		cs.LG,q-bio.QM,stat.ML
2511.06042	2025-11-08	3		COFM: Consistent Optimal Transport Flow Matching via Partially Input Convex Neural Networks	Fanghui Song	3			cs.LG
2511.11418	2025-11-14	3		Low-Bit, High-Fidelity: Optimal Transport Quantization for Flow Matching	Dara Varam	5	12 pages, 8 figures		cs.LG,cs.CV
2605.12174	2026-05-12	3		Expected Batch Optimal Transport Plans and Consequences for Flow Matching	Samuel Boïté	3			cs.LG,math.PR
2606.04092	2026-06-02	3		Optimal Transport Flow Matching by Design	Shimon Malnick	4	Project page: https://www.malnick.net/designing_ot_flows		cs.CV,cs.LG
2606.30053	2026-06-29	3	yes	Notes on generative modeling: flow matching, diffusion, optimal transport and Schr{ö}dinger bridge	Titouan Vayer	1			stat.ML,cs.LG
2601.22495	2026-01-30	2		Gradual Fine-Tuning for Flow Matching Models	Gudrun Thorkelsdottir	2	Preprint. Added methodology and experimental sections		cs.LG
2604.05700	2026-04-07	2		Optimal-Transport-Guided Functional Flow Matching for Turbulent Field Generation in Hilbert Space	Li Kunpeng	8	41 pages, 5 figures, journal paper		cs.LG
2605.22340	2026-05-21	2		From Snapshots to Trajectories: Learning Single-Cell Gene Expression Dynamics via Conditional Flow Matching	Siyu Pu	10			cs.LG
2608.06824	2026-08-07	2		Control-Anchored Residual Flow Matching Conditioned on Gene Geometry for Virtual Cell Perturbation Modeling	Quanquan Li	13			q-bio.MN,cs.AI
2509.24936	2025-09-29	1		OAT-FM: Optimal Acceleration Transport for Improved Flow Matching	Angxiao Yue	3			cs.LG
2510.06666	2025-10-08	1		Trajectory-Optimized Density Control with Flow Matching	Xu Duan	2			math.OC
2602.05257	2026-02-05	1		RFM-Pose:Reinforcement-Guided Flow Matching for Fast Category-Level 6D Pose Estimation	Diya He	4	This work has been submitted to the IEEE for possible publication		cs.CV,cs.RO
2602.07084	2026-02-06	1		AbFlow : End-to-end Paratope-Centric Antibody Design by Interaction Enhanced Flow Matching	Wenda Wang	4			q-bio.QM,cs.AI,cs.CE
2602.10644	2026-02-11	1		Towards Universal Spatial Transcriptomics Super-Resolution: A Generalist Physically Consistent Flow Matching Framework	Xinlei Huang	8		SIGKDD 2026	q-bio.BM
2602.17586	2026-02-19	1		Conditional Flow Matching for Continuous Anomaly Detection in Autonomous Driving on a Manifold-Aware Spectral Space	Antonio Guillen-Perez	1			cs.RO,cs.AI,cs.LG
2603.07513	2026-03-08	1		Bolbosh: Script-Aware Flow Matching for Kashmiri Text-to-Speech	Tajamul Ashraf	8	https://gaash-lab.github.io/Bolbosh/		cs.CL
2605.06680	2026-04-22	1		On the Role of Strain and Vorticity in Numerical Integration Error for Flow Matching	Chenxi Tao	2	16 pages, 7 figures. Preliminary version. Includes qualitative CIFAR-10 comparison and supporting synthetic experiments		cs.LG,cs.CV,physics.flu-dyn
2605.06829	2026-05-07	1		A Unified Measure-Theoretic View of Diffusion, Score-Based, and Flow Matching Generative Models	Aditya Ranganath	2	62 pages, 1 figure, jmlr preprint		cs.LG,cs.CV,cs.ET
2605.13063	2026-05-13	1		Ergodic Trajectory Design by Learned Pushforward Maps: Provable Coverage via Conditional Flow Matching	Ehsan Aghazadeh	4			cs.LG
2607.08781	2026-06-13	1		Reward Transport: Property Control in Flow Matching via Noise-Space Alignment	Kehan Guo	7			cs.LG,cs.AI,q-bio.QM
2606.15897	2026-06-14	1		Topological Flow Matching	Kacper Wyrwal	3	Accepted at ICLR 2026. 26 pages, 24 figures. Code: https://github.com/KacperWyrwal/topological-flow-matching		cs.LG,cs.AI,stat.ML
2606.24157	2026-06-23	1		The Geometry Behind Diffusion and Flow Matching: Gradient Flows and Geodesics in Wasserstein Space	Yian Yao	2			cs.AI
2509.21250	2025-09-25	0		Federated Flow Matching	Zifan Wang	5			cs.LG
2509.25519	2025-09-29	0		Flow Matching with Semidiscrete Couplings	Alireza Mousavi-Hosseini	4	38 pages, 23 figures		cs.LG,stat.ML
2509.25713	2025-09-30	0		Reweighted Flow Matching via Unbalanced OT for Label-free Long-tailed Generation	Hyunsoo Song	3	28 pages, 17 figures		cs.LG,cs.CV
2510.02952	2025-10-03	0		ContextFlow: Context-Aware Flow Matching For Trajectory Inference From Spatial Omics Data	Santanu Subhash Rathod	6	42 pages, 21 figures, 30 tables		cs.LG
2510.10650	2025-10-12	0		DEMO: Disentangled Motion Latent Flow Matching for Fine-Grained Controllable Talking Portrait Synthesis	Peiyin Chen	5	5 pages		cs.CV,cs.AI
2510.14514	2025-10-16	0		Flow Matching for Averaged Systems	Daniel Owusu Adu	2			math.OC
2510.23015	2025-10-27	0		Coupled Flow Matching	Wenxi Cai	3			stat.ML,cs.LG
2512.00698	2025-11-30	0		Flow Matching for Tabular Data Synthesis	Bahrul Ilmi Nasution	5	Published at TMLR		cs.LG,stat.ML
2512.01172	2025-12-01	0		High-dimensional Mean-Field Games by Particle-based Flow Matching	Jiajia Yu	4			stat.ML,cs.LG,math.OC
2512.20314	2025-12-23	0		LP-CFM: Perceptual Invariance-Aware Conditional Flow Matching for Speech Modeling	Doyeop Kwak	3			eess.AS
2512.22406	2025-12-26	0		DeFloMat: Detection with Flow Matching for Stable and Efficient Generative Object Localization	Hansang Lee	5			cs.CV
2601.06156	2026-01-06	0		Channel Knowledge Map Construction via Guided Flow Matching	Ziyu Huang	5			cs.IT,cs.AI
2601.16763	2026-01-23	0		Flow Matching for Probabilistic Monocular 3D Human Pose Estimation	Cuong Le	4	12 pages, 2 figures, 8 tables, accepted to TMLR		cs.CV
2602.12683	2026-02-13	0		Flow Matching from Viewpoint of Proximal Operators	Kenji Fukumizu	5	38 pages, 6 figures		cs.LG,stat.ML
2602.23566	2026-02-27	0		Flowette: Flow Matching with Graphette Priors for Graph Generation	Asiri Wijesinghe	4	48 Pages		cs.LG,cs.AI
2603.09014	2026-03-09	0		The Coupling Within: Flow Matching via Distilled Normalizing Flows	David Berthelot	9	Submitted to ICML 2026		cs.LG,cs.CV
2604.06413	2026-04-07	0		ODE-free Neural Flow Matching for One-Step Generative Modeling	Xiao Shou	1			cs.LG
2604.09700	2026-04-07	0		Attention-Guided Flow-Matching for Sparse 3D Geological Generation	Zhixiang Lu	7			cs.CV,cs.AI
2604.23350	2026-04-25	0		GeoFunFlow-3D: A Physics-Guided Generative Flow Matching Framework for High-Fidelity 3D Aerodynamic Inference over Complex Geometries	Ruiling Jiang	3	40 pages, 18 figures,4 tables		math.NA,cs.LG
2605.05975	2026-05-07	0		Physical Fidelity Reconstruction via Improved Consistency-Distilled Flow Matching for Dynamical Systems	Sicheng Ma	4			cs.LG,physics.flu-dyn
2605.08515	2026-05-08	0		Quantile-Coupled Flow Matching for Distributional Reinforcement Learning	Michael Groom	5			cs.LG,cs.RO
2605.07513	2026-05-08	0		Tessellations of Semi-Discrete Flow Matching	Emile Pierret	4			cs.LG
2605.13959	2026-05-13	0		WarmPrior: Straightening Flow-Matching Policies with Temporal Priors	Sinjae Kang	5			cs.LG,cs.AI,cs.RO
2605.13386	2026-05-13	0		Support-Conditioned Flow Matching Is Kernel Smoothing	Daniel Matsui Smola	1	Submitted to NeurIPS 2026. 18 pages, 10 figures, 1 table. Code at https://github.com/BaroqueObama/kernel-flow-matching-code		cs.LG,stat.ML
2605.15419	2026-05-14	0		Lagrangian Flow Matching: A Least-Action Framework for Principled Path Design	Shukai Du	3			cs.LG
2605.16573	2026-05-15	0		Wavelet Flow Matching for Multi-Scale Physics Emulation	Gabriele Accarino	7			cs.LG,cs.AI,physics.flu-dyn
2605.25294	2026-05-24	0		Geometry-Aware Image Flow Matching	Junho Lee	3			cs.CV
2605.25577	2026-05-25	0		Geometric Flow Matching for Molecular Conformation Generation via Manifold Decomposition	Yunqing Liu	3			cs.LG,cs.AI
2606.23489	2026-06-22	0		MeshFlow: Mesh Generation with Equivariant Flow Matching	Qi Sun	9	SIGGRAPH 2026		cs.GR,cs.CV
2607.14725	2026-07-16	0		BridgeFlow: Fast and Robust SE(2)-Equivariant Motion Planning with Flow Matching	Xinzhe Zhou	4	Accepted to the IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS 2026). 8 pages, 7 figures		cs.RO
2607.24876	2026-07-27	0		Low-Latency Generative Semantic Communication via Channel-Realization Flow Matching	Fan Gao	4	Accpeted by Globecom 2026. 6 pages, 7 figures		cs.IT,eess.IV
2608.05557	2026-08-06	0		Hierarchical Flow Matching for 3D Point Cloud Generation	Linhao Wang	4			cs.CV
2608.27429	2026-08-27	0		Mechanistic Reaction Prediction via Discrete Flow Matching on Graph-Structured Electron Occupation	Nguyen Xuan-Vu	4			cs.AI
2608.26961	2026-08-27	0		Gromov-Monge Flow Matching for Equivariant Graph Generation	Moritz Piening	2	Gromov-Wasserstein, Optimal Transport, Flow Matching, Graph Generation, Equivariant Networks		cs.LG,math.OC,stat.ML
2609.00198	2026-08-31	0		A Lagrangian View of Flow Matching	Peyman Milanfar	1			cs.CV,physics.flu-dyn
