id	date	score	known	title	first_author	n_authors	comment	jref	cats
2602.08243	2026-02-09	11	yes	Discrete Adjoint Schrödinger Bridge Sampler	Wei Guo	9			stat.ML,cs.LG
2604.08580	2026-03-28	10	yes	Adjoint Matching through the Lens of the Stochastic Maximum Principle in Optimal Control	Carles Domingo-Enrich	2			math.OC,cs.LG
2608.25838	2026-08-26	10	yes	Hard-Constrained Sampling on Embedded Riemannian Manifolds via Adjoint Schrödinger Bridges	Mattia Mosso	3			eess.SY
2511.06239	2025-11-09	7	yes	Functional Adjoint Sampler: Scalable Sampling on Infinite Dimensional Spaces	Byoungwoo Park	3			stat.ML,cs.LG
2601.21026	2026-01-28	6		Diffusion-based Annealed Boltzmann Generators : benefits, pitfalls and hopes	Louis Grenioux	2	TMLR camera ready version		stat.ML,cs.LG
2602.03729	2026-02-03	6		Efficient Training of Boltzmann Generators Using Off-Policy Log-Dispersion Regularization	Henrik Schopmans	3			cs.LG
2605.11480	2026-05-12	6		Efficient Adjoint Matching for Fine-tuning Diffusion Models	Jeongwoo Shin	8			cs.LG
2606.27361	2026-06-25	6		Autoregressive Boltzmann Generators	Danyal Rehman	5	ICML 2026 (Spotlight)		cs.LG,cs.AI
2509.25486	2025-09-29	5		Scalable Boltzmann Generators for equilibrium sampling of large-scale materials	Maximilian Schebek	3			cond-mat.stat-mech,cs.LG
2510.02315	2025-10-02	5		FOCUS: Optimal Control for Multi-Entity World Modeling in Text-to-Image Generation	Eric Tillmann Bill	3	Project Page: https://ericbill21.github.io/FOCUS/		cs.CV
2510.03824	2025-10-04	5		Proximal Diffusion Neural Sampler	Wei Guo	5	Accepted at ICLR 2026 (https://openreview.net/forum?id=XTHQqS7ObC)		cs.LG,cs.AI,stat.ML
2510.18460	2025-10-21	5		Learning Boltzmann Generators via Constrained Mass Transport	Christopher von Klitzing	5			cs.LG
2512.16607	2025-12-18	5		Boltzmann generators for amorphous particle systems	Louis Grenioux	5	30 pages, 10 figures. V2 considerably expands the results compared to v1		stat.ML,cond-mat.stat-mech,cs.LG
2602.05961	2026-02-05	5		Discrete diffusion samplers and bridges: Off-policy algorithms and applications in latent spaces	Arran Carter	5	ICML 2026. Code: https://github.com/mmacosha/offpolicy-discrete-diffusion-samplers-and-bridges		cs.LG,stat.ML
2602.07132	2026-02-06	5	yes	Discrete Adjoint Matching	Oswin So	5	ICLR 2026		stat.ML,cs.LG
2604.05303	2026-04-07	5		Jeffreys Flow: Robust Boltzmann Generators for Rare Event Sampling via Parallel Tempering Distillation	Guang Lin	4			cs.LG,math.NA,physics.comp-ph
2605.06156	2026-05-07	5		Entropy-Regularized Adjoint Matching for Offline Reinforcement Learning	Abdelghani Ghanem	2			cs.LG,cs.AI
2605.27079	2026-05-26	5		Trust Region Q Adjoint Matching	Yonghoon Dong	5			cs.LG,cs.AI,cs.RO
2606.13790	2026-06-11	5		Stochastic Path Sampler For Lattice Field Theory	Shiyang Chen	5	11 figures, 32 pages		hep-lat
2607.06609	2026-07-07	5		D2PO: Optimizing Diffusion Samplers via Dynamic Preference	Jinkyu Kim	3	Accepted to ECCV 2026		cs.LG,cs.AI
2607.19198	2026-07-21	5		ATLAS: A Foundation Neural Sampler for Amorphous Materials	Mouyang Cheng	7			cond-mat.mtrl-sci,cs.LG,physics.comp-ph
2509.14575	2025-09-18	4		Learning Neural Pushforward Samplers for Distributions from Fokker-Planck Equations by Weak Adversarial Training	Andrew Qing He	2	10 pages, 2 figures		math.NA
2512.05251	2025-12-04	4		One-Step Diffusion Samplers via Self-Distillation and Deterministic Flow	Pascal Jutras-Dube	4	Accepted to the 29th International Conference on Artificial Intelligence and Statistics (AISTATS 2026)		stat.ML,cs.LG
2512.18147	2025-12-20	4		Estimating Solvation Free Energies with Boltzmann Generators	Maximilian Schebek	4			cond-mat.stat-mech,cs.LG,physics.comp-ph
2601.14234	2026-01-20	4		Q-learning with Adjoint Matching	Qiyang Li	2	32 pages, 8 figures, 7 tables		cs.LG,cs.AI,cs.RO
2602.18482	2026-02-10	4		Boltzmann Generators for Condensed Matter via Riemannian Flow Matching	Emil Hoffmann	5	Published as a workshop paper at AI4MAT, ICLR 2026		physics.comp-ph,cond-mat.stat-mech,cs.LG
2602.10637	2026-02-11	4		Coarse-Grained Boltzmann Generators	Weilong Chen	4	Accepted at ICML 2026		cs.LG,cond-mat.stat-mech,physics.chem-ph
2603.05109	2026-03-05	4		Sampling the Liquid-Gas Critical Point with Boltzmann Generators	Luigi de Santis	3		J. Chem. Phys. 164, 094108 (2026)	cond-mat.stat-mech,cond-mat.dis-nn,cond-mat.soft
2603.13330	2026-03-05	4		RBF-Solver: A Multistep Sampler for Diffusion Probabilistic Models via Radial Basis Functions	Soochul Park	6	49 pages , 5 figures , Preprint		cs.LG,cs.CV
2605.00229	2026-04-30	4		A unified perspective on fine-tuning and sampling with diffusion and flow models	Carles Domingo-Enrich	3			stat.ML,cs.LG,math.OC
2605.06583	2026-05-07	4		Improved techniques for fine-tuning flow models via adjoint matching: a deterministic control pipeline	Zhengyi Guo	4			cs.AI
2605.10759	2026-05-11	4		Reinforce Adjoint Matching: Scaling RL Post-Training of Diffusion and Flow-Matching Models	Andreas Bergmeister	5			cs.LG,cs.CV
2605.21722	2026-05-20	4		MetaDNS: Enhancing Exploration in Discrete Neural Samplers via Well-Tempered Metadynamics	Xiaochen Du	10	Accepted at ICML 2026		cond-mat.stat-mech,cond-mat.mtrl-sci,cs.LG
2606.22630	2026-06-21	4		Scalable Maximum Entropy Reinforcement Learning for Diffusion Policies via Adjoint Matching	Serge Thilges	5			cs.LG
2606.29110	2026-06-27	4		Few-Step Boltzmann Generators via Scalable Likelihood Flow Maps	RuiKang OuYang	10			cs.LG,stat.ML
2607.22192	2026-07-24	4		Producing a complete nuclear data library for adjoint Monte Carlo simulations	Paul Rovel	4			physics.comp-ph
2608.19116	2026-08-19	4		JANUS: A Multi-modal Foundation Neural Sampler for Disordered Materials	Denis Blessing	7			cond-mat.mtrl-sci
2510.04525	2025-10-06	3		Demystifying MaskGIT Sampler and Beyond: Adaptive Order Selection in Masked Diffusion	Satoshi Hayakawa	5	23 pages, fixed cleveref-related issue	Transactions on Machine Learning Research, 2026	cs.LG,math.PR,stat.ML
2512.24927	2025-12-31	3		Are First-Order Diffusion Samplers Really Slower? A Fast Forward-Value Approach	Yuchen Jiao	4			stat.ML,cs.LG,math.ST
2601.17375	2026-01-24	3		Operator splitting based diffusion samplers and improved convergence analysis	Peiyi Liu	3			math.NA
2602.19619	2026-02-23	3		Is Your Diffusion Sampler Actually Correct? A Sampler-Centric Evaluation of Discrete Diffusion Language Models	Luhan Tang	4	30 pages, 10 figures		cs.LG
2603.19670	2026-03-20	3		Load--Reserve Wasserstein Propagation for Isotropic Diffusion Samplers	Zicheng Lyu	2			cs.LG
2604.01870	2026-04-02	3		Towards Intrinsically Calibrated Uncertainty Quantification in Industrial Data-Driven Models via Diffusion Sampler	Yiran Ma	4	This manuscript has been accepted for publication in IEEE Transactions on Industrial Informatics. Copyright has been transferred to IEEE. Reuse of this material is subject to IEEE copyright restrictions		cs.LG,eess.SY
2604.06675	2026-04-08	3		A Sample-Wise Adjoint Regression Framework for Mean-Field Control with Connections to Adjoint Matching	Hui Sun	1			math.OC
2605.30920	2026-05-29	3		Unsupervised Diffusion Solver for Combinatorial Optimization via Combinatorial Adjoint Matching	Shengyu Feng	3	ICML26		cs.LG
2509.26364	2025-09-30	2		Data-to-Energy Stochastic Dynamics	Kirill Tamogashev	2	ICLR 2026		cs.LG
2511.17741	2025-11-21	2		Diffusion Models are Molecular Dynamics Simulators	Justin Diamond	2			cs.LG,stat.ML
2511.19965	2025-11-25	2		HiCoGen: Hierarchical Compositional Text-to-Image Generation in Diffusion Models via Reinforcement Learning	Hongji Yang	7	9 pages		cs.CV
2512.04985	2025-12-04	2		Towards a unified framework for guided diffusion models	Yuchen Jiao	3			stat.ML,cs.LG,math.ST
2512.23930	2025-12-30	2		Assessing generative modeling approaches for free energy estimates in condensed matter	Maximilian Schebek	6			cond-mat.stat-mech,cond-mat.mtrl-sci,cs.LG
2601.21025	2026-01-28	2		A Diffusive Classification Loss for Learning Energy-based Generative Models	RuiKang OuYang	3	Accepted at ICML 2026		stat.ML,cs.LG
2602.00357	2026-01-30	2		Planning with Language and Generative Models: Toward General Reward-Guided Wireless Network Design	Chenyang Yuan	2			cs.LG
2603.13842	2026-03-14	2		Fine-tuning is Not Enough: A Parallel Framework for Collaborative Imitation and Reinforcement Learning in End-to-end Autonomous Driving	Zhexi Lian	7	11 pages, 7 figures, 6 tables	Proceedings of the IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR) Findings, 2026, pp. 920-930	cs.RO,cs.AI
2603.20455	2026-03-20	2		Time-Reversed BSDEs for Accurate Gradient Estimation in Diffusion Models	Yuhang Mei	2	10 pages, 3 figures		math.OC
2604.25244	2026-04-28	2		Learning Structure, Energy, and Dynamics: A Survey of Artificial Intelligence for Protein Dynamics	Haocheng Tang	6			q-bio.BM,cs.LG
2510.02291	2025-10-02	1		Test-Time Anchoring for Discrete Diffusion Posterior Sampling	Litu Rout	7	Preprint		cs.LG,cs.CV,stat.ML
2510.08425	2025-10-09	1		Reinforcing Diffusion Models by Direct Group Preference Optimization	Yihong Luo	3			cs.LG,cs.CV
2510.11711	2025-10-13	1		Reinforced sequential Monte Carlo for amortised sampling	Sanghyeok Choi	5	ICML 2026. Code: https://github.com/hyeok9855/ReinforcedSMC		cs.LG,stat.ML
2510.21542	2025-10-24	1		HollowFlow: Efficient Sample Likelihood Evaluation using Hollow Message Passing	Johann Flemming Gloy	2	Accepted to NeurIPS 2025		stat.ML,cs.LG
2512.08987	2025-12-06	1		3DID: Direct 3D Inverse Design for Aerodynamics with Physics-Aware Optimization	Yuze Hao	3	Accepted at NeurIPS 2025		cs.CV,cs.AI
2512.09914	2025-12-10	1		FALCON: Few-step Accurate Likelihoods for Continuous Flows	Danyal Rehman	5	Preprint; NeurIPS 2025 MLSB		cs.LG,cs.AI
2512.18368	2025-12-20	1		Learning Semantic Atomic Skills for Multi-Task Robotic Manipulation	Yihang Zhu	5			cs.RO
2601.02036	2026-01-05	1		GDRO: Group-level Reward Post-training Suitable for Diffusion Models	Yiyang Wang	5			cs.LG,cs.CV
2602.04189	2026-02-04	1		Beyond Accuracy: Evaluating Posterior Fidelity of Diffusion Inverse Solvers	Xiaoyu Qiu	5			cs.LG,stat.CO
2602.07588	2026-02-07	1		Unified Biomolecular Trajectory Generation via Pretrained Variational Bridge	Ziyang Yu	3	The Fourteenth International Conference on Learning Representations (ICLR 2026)		cs.LG
2603.04463	2026-03-03	1		GAIDE: Graph-based Attention Masking for Spatial- and Embodiment-aware Motion Planning	Davood Soleymanzadeh	3			cs.RO
2605.00416	2026-05-01	1		Learning While Deploying: Fleet-Scale Reinforcement Learning for Generalist Robot Policies	Yi Wang	16	No		cs.RO
2606.18066	2026-06-16	1		NoiseTilt: Noise-Tilted Reverse Kernels for Diffusion Reward Alignment	Jisung Hwang	5	ECCV 2026		cs.LG
2606.26476	2026-06-25	1		Retrieval-Warmed Energy-Based Reasoning: A Five-Arm Ablation Methodology for Diffusion-as-Inference on Structured Reasoning Tasks	Libo Sun	5	8 Pages, 6 Figures		cs.LG,cs.AI
2606.28301	2026-06-26	1		VGB for Masked Diffusion Model: Efficient Test-time Scaling for Reward Satisfaction and Sample Editing	Kijung Jeon	3	72 pages		cs.LG,cs.DS,math.NA
2607.02137	2026-07-02	1		ART for Diffusion Sampling: Continuous-Time Control and Actor-Critic Learning	Yilie Huang	3	36 pages, 14 figures, 8 tables		cs.LG,cs.AI,eess.SY
2607.11631	2026-07-13	1		Markov Chain Monte Carlo with Diffusion Paths	Han Chen	3			stat.CO,stat.ML
2607.12975	2026-07-14	1		Ensemble Controlled-Flow Filtering for Implicit Data Assimilation	Zhuoyuan Li	3	26 pages		stat.ML,cs.LG,math.NA
2607.12587	2026-07-14	1		Lattice Configuration Generation with a Self-Learning Diffusion Model	Akio Tomiya	1	34 pages, 8 figures		hep-lat,cond-mat.str-el
2608.25998	2026-08-26	1		Uncertainty-Guided Latent Diffusion Models for Faithful Super Resolution	Ren Wang	2	ICIP 2026		cs.CV
2608.25734	2026-08-26	1		InteractGesture: Progressive Chunk Guidance for Continuous Streaming Co-Speech Gesture Control	Ekkasit Pinyoanuntapong	8	ECCV 2026 Workshop - Interactive Social Avatars		cs.CV
2609.00812	2026-09-01	1		Aerodynamic Shape Design Space Exploration with Deep Latent Diffusion Model	Zhen Wei	5	This is the authors' postprint of the AIAA Journal article https://doi.org/10.2514/1.J066320. Data, code and agentic skill demo: https://github.com/kfxw/DiffGeo	AIAA Journal, 2026	cs.CE
2509.11638	2025-09-15	0		IS-Diff: Improving Diffusion-Based Inpainting with Better Initial Seed	Yongzhe Lyu	4			cs.CV
