id	date	score	known	title	first_author	n_authors	comment	jref	cats
2604.08580	2026-03-28	10	yes	Adjoint Matching through the Lens of the Stochastic Maximum Principle in Optimal Control	Carles Domingo-Enrich	2			math.OC,cs.LG
2605.11480	2026-05-12	6		Efficient Adjoint Matching for Fine-tuning Diffusion Models	Jeongwoo Shin	8			cs.LG
2510.02315	2025-10-02	5		FOCUS: Optimal Control for Multi-Entity World Modeling in Text-to-Image Generation	Eric Tillmann Bill	3	Project Page: https://ericbill21.github.io/FOCUS/		cs.CV
2509.24531	2025-09-29	4	yes	Diffusion Bridge or Flow Matching? A Unifying Framework and Comparative Analysis	Kaizhen Zhu	6			cs.CV
2512.21829	2025-12-26	4		Tilt Matching for Scalable Sampling and Fine-Tuning	Peter Potaptchik	3			stat.ML,cs.LG
2605.00229	2026-04-30	4		A unified perspective on fine-tuning and sampling with diffusion and flow models	Carles Domingo-Enrich	3			stat.ML,cs.LG,math.OC
2606.28785	2026-06-27	4		Stochastic Optimal Control Sampling for Diffusion Inverse Problems	Jie Zhang	6	Accepted by ECCV2026		cs.CV
2509.25171	2025-09-29	3		TR2-D2: Tree Search Guided Trajectory-Aware Fine-Tuning for Discrete Diffusion	Sophia Tang	4			cs.LG,q-bio.BM
2606.15359	2026-06-13	3		DiRecT: Safe Diffusion-Based Planning via Receding-Horizon Denoising	Paolo Giaretta	3			cs.LG
2603.20455	2026-03-20	2		Time-Reversed BSDEs for Accurate Gradient Estimation in Diffusion Models	Yuhang Mei	2	10 pages, 3 figures		math.OC
2604.03310	2026-03-31	2		Diffusion Path Alignment for Long-Range Motion Generation and Domain Transitions	Haichao Wang	6			cs.CV
2607.22541	2026-04-26	2		SDE Guided Monte Carlo Reinforcement Learning: A Stochastic Maximum Principle Approach for Robust Decision Making in Noisy Environments	Juncai Wang	1			math.OC,math.NA,math.PR
